"LOCATION","Country","INDICATOR","Indicator","SEX","Sex","AGE","Age","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"TUR","Turkey","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2009","2009","PC","Percentage","0","Units",,,14.173,,
"TUR","Turkey","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2010","2010","PC","Percentage","0","Units",,,12.61616,,
"TUR","Turkey","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2011","2011","PC","Percentage","0","Units",,,11.891,,
"TUR","Turkey","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2012","2012","PC","Percentage","0","Units",,,10.82055,,
"TUR","Turkey","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2013","2013","PC","Percentage","0","Units",,,10.44115,,
"TUR","Turkey","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2014","2014","PC","Percentage","0","Units",,,9.218006,"B","Break"
"TUR","Turkey","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2015","2015","PC","Percentage","0","Units",,,9.389343,,
"TUR","Turkey","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2016","2016","PC","Percentage","0","Units",,,8.867392,,
"TUR","Turkey","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2006","2006","PC","Percentage","0","Units",,,5.829511,,
"TUR","Turkey","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2007","2007","PC","Percentage","0","Units",,,5.24181,,
"TUR","Turkey","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2008","2008","PC","Percentage","0","Units",,,5.313278,,
"TUR","Turkey","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2009","2009","PC","Percentage","0","Units",,,6.550696,,
"TUR","Turkey","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2010","2010","PC","Percentage","0","Units",,,6.626815,,
"TUR","Turkey","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2011","2011","PC","Percentage","0","Units",,,5.422018,,
"TUR","Turkey","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2012","2012","PC","Percentage","0","Units",,,5.095369,,
"TUR","Turkey","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2013","2013","PC","Percentage","0","Units",,,5.241787,,
"TUR","Turkey","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2014","2014","PC","Percentage","0","Units",,,4.614994,"B","Break"
"TUR","Turkey","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2015","2015","PC","Percentage","0","Units",,,4.333532,,
